Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,
91,So,6-1,Achol Akot,Oklahoma St.,B12,64.8,5.1,9.9,123.5,81.4,21.5,63.4,65.5,14,19.4,13.1,18.9,3.3,3,27.6,178-277,0.643,0.4,1-6,0.167
92,So,5-11,Katie Fiso,Oregon,B10,79.2,5,7.1,101.1,81.6,28.4,50.3,54.3,1.1,11,40,23.1,0.9,2.3,27,213-416,0.512,2.1,12-43,0.279
93,So,6-1,Tori McKinney,Minnesota,B10,59.4,5,12.6,119.3,74.6,21.7,51.9,56.9,2.4,10.3,17.6,11.9,2.4,4.3,30.4,99-189,0.524,7.3,33-97,0.34
94,Jr,5-10,MiLaysia Fulwiley,LSU,SEC,56.9,5,19.7,117.7,64.4,27.4,52.6,56.6,4.4,11,23.7,19.7,6.7,6.4,28.4,148-272,0.544,8.3,42-129,0.326
95,Sr,6-3,Grace VanSlooten,Michigan St.,B10,71.5,5,9.1,109.9,78.1,26.1,50.1,53.2,11.3,16.3,14.5,14.4,4,3.6,32.6,197-394,0.5,0.1,1-2,0.5
96,Jr,6-1,Fadima Tall,Princeton,Ivy,67.2,5,10.7,114.4,78.9,23.3,51.2,56.9,8.5,22.5,14.6,16.6,1.2,5.1,32.4,99-198,0.5,6.2,30-83,0.361
97,Sr,5-9,Chance Gray,Ohio St.,B10,80,5,6.9,113.1,84.1,19.3,55.8,59,1.2,7.2,14.2,15.7,0,1.4,17.3,98-194,0.505,9.9,85-210,0.405
98,So,5-6,Jadyn Wooten,Oklahoma St.,B12,67.4,5,7.1,113.8,86.9,25.2,50.6,54,3.7,10.7,34.9,18,0.5,2.5,26.6,155-302,0.513,2.5,12-40,0.3
99,Sr,5-9,Taina Mair,Duke,ACC,85,5,11.6,106.3,71.4,20.2,46.8,51.1,4.9,13.5,29,21.8,0.3,4.1,20.5,111-249,0.446,5.7,43-126,0.341
100,Sr,5-7,Jessica Carrothers,Illinois Chicago,MVC,74.3,5,4.7,111.4,97.8,27.1,50.3,54.3,2,9.1,29.3,12.7,0.5,2.5,18.9,210-406,0.517,1.4,4-23,0.174
101,So,6-0,Syla Swords,Michigan,B10,81.2,4.9,9.2,109.6,74.5,19.6,49.9,52,3.6,10.8,11.7,16.1,0.7,2.5,13.5,99-204,0.485,11.6,84-247,0.34
102,Jr,5-11,Zahirah Walton,George Mason,A10,82.2,4.9,7.5,103.1,81.9,28.7,43.2,50.4,6.2,14.1,14.7,15,3.1,3.2,42.3,175-400,0.438,4.6,23-85,0.271
103,Jr,5-9,Lulu Twidale,California,ACC,87.3,4.9,4.6,102.4,88,24.1,48.9,54.3,1.9,10,21.2,20.9,0.1,1.1,26.6,77-156,0.494,14.2,101-311,0.325
